run,run_label,model,model_label,target,target_label,group,method,feature,feature_label,importance_mean,importance_std,rank,n_rows,n_tsids
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,low,permutation,toc_in_avg,TOC,51.58705238687857,9.851269602510616,1,50,10
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,low,permutation,cl2d_in_avg,Cl2 dose,31.462581286251144,5.654106272568381,2,50,10
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,low,permutation,uv_in_avg,UV254,14.451639277830353,3.0357436829343216,3,50,10
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,low,permutation,br_in_avg,Bromide,12.824521441800036,4.442978376252226,4,50,10
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,low,permutation,ph_in_avg,pH,1.4920479526933856,1.0121458379223327,5,50,10
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,low,permutation,temp_in_avg,Temperature,-0.9909058281422052,1.2077446224092148,6,50,10
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,high,shap,cl2d_in_avg,Cl2 dose,25.11707984623425,0.0,1,55,7
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,high,shap,toc_in_avg,TOC,13.343971017614747,0.0,2,55,7
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,high,shap,br_in_avg,Bromide,13.22009762238684,0.0,3,55,7
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,high,shap,uv_in_avg,UV254,9.101786045354741,0.0,4,55,7
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,high,shap,temp_in_avg,Temperature,3.0597084630257996,0.0,5,55,7
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,high,shap,ph_in_avg,pH,1.2755378426523216,0.0,6,55,7
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,high,permutation,cl2d_in_avg,Cl2 dose,16.684715319829863,2.039727498906338,1,55,7
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,high,permutation,toc_in_avg,TOC,3.341011574390346,1.7053573313589052,2,55,7
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,high,permutation,uv_in_avg,UV254,0.4237451054436473,0.46170400782987375,3,55,7
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,high,permutation,ph_in_avg,pH,0.41862507970943347,0.3786908002821026,4,55,7
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,high,permutation,temp_in_avg,Temperature,-1.8418789189669689,0.7334382285186098,5,55,7
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,high,permutation,br_in_avg,Bromide,-3.651045601640233,0.9228130379760928,6,55,7
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,low,shap,br_in_avg,Bromide,6.73074804485853,0.0,1,50,10
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,low,shap,ph_in_avg,pH,2.741736607607611,0.0,2,50,10
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,low,shap,uv_in_avg,UV254,2.196503317229231,0.0,3,50,10
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,low,shap,cl2d_in_avg,Cl2 dose,1.694925081165714,0.0,4,50,10
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,low,shap,temp_in_avg,Temperature,0.9868753226210909,0.0,5,50,10
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,low,shap,toc_in_avg,TOC,0.9084643498283427,0.0,6,50,10
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,low,permutation,br_in_avg,Bromide,8.088752998995464,0.8588755237219042,1,50,10
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,low,permutation,uv_in_avg,UV254,2.4279430595053846,0.5897526907239509,2,50,10
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,low,permutation,cl2d_in_avg,Cl2 dose,1.2834238034074341,0.42424748416088004,3,50,10
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,low,permutation,toc_in_avg,TOC,1.1948540001882872,0.3265093174702752,4,50,10
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,low,permutation,temp_in_avg,Temperature,0.6756738226017599,0.1678041124867277,5,50,10
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,low,permutation,ph_in_avg,pH,0.5292790093776739,0.3658531220929162,6,50,10
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,high,shap,br_in_avg,Bromide,7.251394958583651,0.0,1,55,7
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,high,shap,ph_in_avg,pH,2.406824341603213,0.0,2,55,7
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,high,shap,cl2d_in_avg,Cl2 dose,2.015486662208206,0.0,3,55,7
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,high,shap,temp_in_avg,Temperature,1.2895819048567236,0.0,4,55,7
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,high,shap,uv_in_avg,UV254,1.162815107790371,0.0,5,55,7
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,high,shap,toc_in_avg,TOC,1.0661811711805842,0.0,6,55,7
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,high,permutation,br_in_avg,Bromide,2.5850047766662447,0.3879142300142292,1,55,7
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,high,permutation,cl2d_in_avg,Cl2 dose,0.750754673555536,0.2628471230377668,2,55,7
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,high,permutation,uv_in_avg,UV254,0.26407769783600776,0.12926905343086512,3,55,7
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,high,permutation,ph_in_avg,pH,0.24099498354601315,0.22546468609858053,4,55,7
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,high,permutation,toc_in_avg,TOC,0.22503004231526696,0.23060398011359312,5,55,7
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,high,permutation,temp_in_avg,Temperature,-0.13592229389096921,0.19205072146096813,6,55,7
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,bdcm_in_avg,BDCM,low,shap,br_in_avg,Bromide,12.08023702682944,0.0,1,50,10
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,bdcm_in_avg,BDCM,low,shap,cl2d_in_avg,Cl2 dose,6.001379513753254,0.0,2,50,10
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,bdcm_in_avg,BDCM,low,shap,toc_in_avg,TOC,2.741371529187254,0.0,3,50,10
