Train: 141,  Test: 34
Features: 9,  Targets: 3
Optuna trials: 200,  CV folds: 5

[I 2026-03-01 22:34:26,527] Trial 64 finished with value: 0.4414996266365051 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.2, 'activation': 'SiLU', 'lr': 0.008389807525613953, 'weight_decay': 0.00046950249877233924, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:27,810] Trial 65 finished with value: 0.45615602731704713 and parameters: {'n_layers': 2, 'hidden_dim': 64, 'dropout': 0.1, 'activation': 'SiLU', 'lr': 0.008135298456107583, 'weight_decay': 0.0004977064791304406, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:29,613] Trial 66 finished with value: 0.46864340305328367 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.2, 'activation': 'LeakyReLU', 'lr': 0.008277790646911953, 'weight_decay': 0.0003419523133069565, 'batch_size': 8}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:30,968] Trial 67 finished with value: 0.4444197416305542 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.2, 'activation': 'SiLU', 'lr': 0.005620326776183638, 'weight_decay': 0.00022775370465963633, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:32,920] Trial 68 finished with value: 0.47410387396812437 and parameters: {'n_layers': 3, 'hidden_dim': 32, 'dropout': 0.1, 'activation': 'ReLU', 'lr': 0.008746564973783021, 'weight_decay': 0.00044494760099247503, 'batch_size': 8}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:34,436] Trial 69 finished with value: 0.4488006591796875 and parameters: {'n_layers': 1, 'hidden_dim': 32, 'dropout': 0.30000000000000004, 'activation': 'SiLU', 'lr': 0.006992036824310713, 'weight_decay': 0.00018191533063096748, 'batch_size': 8}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:35,346] Trial 70 finished with value: 0.46483790278434756 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.2, 'activation': 'SiLU', 'lr': 0.003723729428313704, 'weight_decay': 0.00027424234634817075, 'batch_size': 32}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:36,821] Trial 71 finished with value: 0.4445689499378204 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.2, 'activation': 'SiLU', 'lr': 0.005552310873022616, 'weight_decay': 0.00023399503346730813, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:38,391] Trial 72 finished with value: 0.4440244555473328 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.2, 'activation': 'SiLU', 'lr': 0.0056115515402287855, 'weight_decay': 0.00036753157666302797, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:39,701] Trial 73 finished with value: 0.4420791149139404 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.2, 'activation': 'SiLU', 'lr': 0.006585992348832259, 'weight_decay': 0.0004018699371985486, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:40,794] Trial 74 finished with value: 0.4403757631778717 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.2, 'activation': 'SiLU', 'lr': 0.008605895052259444, 'weight_decay': 0.0008281270430526885, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:41,974] Trial 75 finished with value: 0.4416679680347443 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.2, 'activation': 'SiLU', 'lr': 0.009405129058859377, 'weight_decay': 0.0011031628978838076, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:43,164] Trial 76 finished with value: 0.45113383531570433 and parameters: {'n_layers': 2, 'hidden_dim': 64, 'dropout': 0.1, 'activation': 'SiLU', 'lr': 0.009206548317544446, 'weight_decay': 0.0010627380627323407, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:44,478] Trial 77 finished with value: 0.46294382214546204 and parameters: {'n_layers': 2, 'hidden_dim': 8, 'dropout': 0.2, 'activation': 'SiLU', 'lr': 0.008635292307939918, 'weight_decay': 0.0015683788284553864, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:45,668] Trial 78 finished with value: 0.44484357833862304 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.30000000000000004, 'activation': 'SiLU', 'lr': 0.006865374673775485, 'weight_decay': 0.0008023018807184738, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:47,124] Trial 79 finished with value: 0.44489735960960386 and parameters: {'n_layers': 2, 'hidden_dim': 16, 'dropout': 0.2, 'activation': 'SiLU', 'lr': 0.00964080098903499, 'weight_decay': 0.0021359953832819282, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:48,510] Trial 80 finished with value: 0.46741547584533694 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.4, 'activation': 'LeakyReLU', 'lr': 0.008009996624303512, 'weight_decay': 0.00127475680716082, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:50,054] Trial 81 finished with value: 0.4429996371269226 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.2, 'activation': 'SiLU', 'lr': 0.006325870808040831, 'weight_decay': 0.0005482251511038109, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:51,796] Trial 82 finished with value: 0.4481506943702698 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.2, 'activation': 'SiLU', 'lr': 0.004142454198071467, 'weight_decay': 0.0008575306875340355, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:53,097] Trial 83 finished with value: 0.446423864364624 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.2, 'activation': 'SiLU', 'lr': 0.007016097567072731, 'weight_decay': 0.0011206870438909614, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:54,333] Trial 84 finished with value: 0.4444330036640167 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.2, 'activation': 'SiLU', 'lr': 0.009937971291317684, 'weight_decay': 0.0004451526666135173, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:55,657] Trial 85 finished with value: 0.4457406342029572 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.2, 'activation': 'SiLU', 'lr': 0.0031608776481717475, 'weight_decay': 0.004696549655004761, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:56,780] Trial 86 finished with value: 0.44059497117996216 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.30000000000000004, 'activation': 'SiLU', 'lr': 0.007517390402448697, 'weight_decay': 0.0005605259603858578, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:58,269] Trial 87 finished with value: 0.4450344443321228 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.30000000000000004, 'activation': 'Tanh', 'lr': 0.008738297603657758, 'weight_decay': 0.000739682339096726, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
