condition,condition_label,seed,model,model_label,target,target_key,target_label,feature,feature_label,mean_abs_shap,rank,n_train,n_test
D,D Dataset1 5-common (N=175),2,xgb,XGBoost,thm4_in_avg,thm4,THM4,toc_in_avg,TOC,20.495052337646484,2,141,34
D,D Dataset1 5-common (N=175),2,xgb,XGBoost,thm4_in_avg,thm4,THM4,br_in_avg,Bromide,12.94627571105957,3,141,34
D,D Dataset1 5-common (N=175),2,xgb,XGBoost,thm4_in_avg,thm4,THM4,temp_in_avg,Temperature,7.93006706237793,4,141,34
D,D Dataset1 5-common (N=175),2,xgb,XGBoost,thm4_in_avg,thm4,THM4,ph_in_avg,pH,3.789957284927368,5,141,34
D,D Dataset1 5-common (N=175),2,rf,Random Forest,dbcm_in_avg,dbcm,DBCM,br_in_avg,Bromide,11.36310181397221,1,141,34
D,D Dataset1 5-common (N=175),2,rf,Random Forest,dbcm_in_avg,dbcm,DBCM,ph_in_avg,pH,2.877332757978287,2,141,34
D,D Dataset1 5-common (N=175),2,rf,Random Forest,dbcm_in_avg,dbcm,DBCM,uv_in_avg,UV254,2.20701293730951,3,141,34
D,D Dataset1 5-common (N=175),2,rf,Random Forest,dbcm_in_avg,dbcm,DBCM,temp_in_avg,Temperature,1.6259160436612892,4,141,34
D,D Dataset1 5-common (N=175),2,rf,Random Forest,dbcm_in_avg,dbcm,DBCM,toc_in_avg,TOC,0.7685333521322049,5,141,34
D,D Dataset1 5-common (N=175),2,xgb,XGBoost,dbcm_in_avg,dbcm,DBCM,br_in_avg,Bromide,11.734642028808594,1,141,34
D,D Dataset1 5-common (N=175),2,xgb,XGBoost,dbcm_in_avg,dbcm,DBCM,uv_in_avg,UV254,2.5056934356689453,2,141,34
D,D Dataset1 5-common (N=175),2,xgb,XGBoost,dbcm_in_avg,dbcm,DBCM,temp_in_avg,Temperature,2.1078271865844727,3,141,34
D,D Dataset1 5-common (N=175),2,xgb,XGBoost,dbcm_in_avg,dbcm,DBCM,ph_in_avg,pH,2.031463384628296,4,141,34
D,D Dataset1 5-common (N=175),2,xgb,XGBoost,dbcm_in_avg,dbcm,DBCM,toc_in_avg,TOC,1.7302281856536865,5,141,34
D,D Dataset1 5-common (N=175),2,rf,Random Forest,bdcm_in_avg,bdcm,BDCM,br_in_avg,Bromide,9.664151938729376,1,141,34
D,D Dataset1 5-common (N=175),2,rf,Random Forest,bdcm_in_avg,bdcm,BDCM,uv_in_avg,UV254,5.087109130742745,2,141,34
D,D Dataset1 5-common (N=175),2,rf,Random Forest,bdcm_in_avg,bdcm,BDCM,toc_in_avg,TOC,3.2071373257250846,3,141,34
D,D Dataset1 5-common (N=175),2,rf,Random Forest,bdcm_in_avg,bdcm,BDCM,temp_in_avg,Temperature,0.8109542534085045,4,141,34
D,D Dataset1 5-common (N=175),2,rf,Random Forest,bdcm_in_avg,bdcm,BDCM,ph_in_avg,pH,0.6851610832987476,5,141,34
D,D Dataset1 5-common (N=175),2,xgb,XGBoost,bdcm_in_avg,bdcm,BDCM,br_in_avg,Bromide,8.982087135314941,1,141,34
D,D Dataset1 5-common (N=175),2,xgb,XGBoost,bdcm_in_avg,bdcm,BDCM,uv_in_avg,UV254,5.212295055389404,2,141,34
D,D Dataset1 5-common (N=175),2,xgb,XGBoost,bdcm_in_avg,bdcm,BDCM,toc_in_avg,TOC,2.2392804622650146,3,141,34
D,D Dataset1 5-common (N=175),2,xgb,XGBoost,bdcm_in_avg,bdcm,BDCM,temp_in_avg,Temperature,0.9945120215415955,4,141,34
D,D Dataset1 5-common (N=175),2,xgb,XGBoost,bdcm_in_avg,bdcm,BDCM,ph_in_avg,pH,0.752083957195282,5,141,34
D,D Dataset1 5-common (N=175),3,rf,Random Forest,thm4_in_avg,thm4,THM4,toc_in_avg,TOC,30.901761700286524,1,141,34
D,D Dataset1 5-common (N=175),3,rf,Random Forest,thm4_in_avg,thm4,THM4,uv_in_avg,UV254,24.199049757811366,2,141,34
D,D Dataset1 5-common (N=175),3,rf,Random Forest,thm4_in_avg,thm4,THM4,br_in_avg,Bromide,23.00785331007405,3,141,34
D,D Dataset1 5-common (N=175),3,rf,Random Forest,thm4_in_avg,thm4,THM4,temp_in_avg,Temperature,4.51341200582314,4,141,34
D,D Dataset1 5-common (N=175),3,rf,Random Forest,thm4_in_avg,thm4,THM4,ph_in_avg,pH,3.33607683683707,5,141,34
D,D Dataset1 5-common (N=175),3,xgb,XGBoost,thm4_in_avg,thm4,THM4,toc_in_avg,TOC,33.032135009765625,1,141,34
D,D Dataset1 5-common (N=175),3,xgb,XGBoost,thm4_in_avg,thm4,THM4,uv_in_avg,UV254,20.930870056152344,2,141,34
D,D Dataset1 5-common (N=175),3,xgb,XGBoost,thm4_in_avg,thm4,THM4,br_in_avg,Bromide,17.475963592529297,3,141,34
D,D Dataset1 5-common (N=175),3,xgb,XGBoost,thm4_in_avg,thm4,THM4,temp_in_avg,Temperature,5.439667701721191,4,141,34
D,D Dataset1 5-common (N=175),3,xgb,XGBoost,thm4_in_avg,thm4,THM4,ph_in_avg,pH,3.4788074493408203,5,141,34
D,D Dataset1 5-common (N=175),3,rf,Random Forest,dbcm_in_avg,dbcm,DBCM,br_in_avg,Bromide,12.24343963868178,1,141,34
D,D Dataset1 5-common (N=175),3,rf,Random Forest,dbcm_in_avg,dbcm,DBCM,ph_in_avg,pH,2.758877525141331,2,141,34
D,D Dataset1 5-common (N=175),3,rf,Random Forest,dbcm_in_avg,dbcm,DBCM,uv_in_avg,UV254,2.420760574891594,3,141,34
D,D Dataset1 5-common (N=175),3,rf,Random Forest,dbcm_in_avg,dbcm,DBCM,toc_in_avg,TOC,1.490821219332327,4,141,34
D,D Dataset1 5-common (N=175),3,rf,Random Forest,dbcm_in_avg,dbcm,DBCM,temp_in_avg,Temperature,1.4054726358989098,5,141,34
D,D Dataset1 5-common (N=175),3,xgb,XGBoost,dbcm_in_avg,dbcm,DBCM,br_in_avg,Bromide,10.972949981689453,1,141,34
D,D Dataset1 5-common (N=175),3,xgb,XGBoost,dbcm_in_avg,dbcm,DBCM,uv_in_avg,UV254,2.359731912612915,2,141,34
D,D Dataset1 5-common (N=175),3,xgb,XGBoost,dbcm_in_avg,dbcm,DBCM,temp_in_avg,Temperature,2.1961498260498047,3,141,34
D,D Dataset1 5-common (N=175),3,xgb,XGBoost,dbcm_in_avg,dbcm,DBCM,ph_in_avg,pH,1.5726804733276367,4,141,34
D,D Dataset1 5-common (N=175),3,xgb,XGBoost,dbcm_in_avg,dbcm,DBCM,toc_in_avg,TOC,1.0361802577972412,5,141,34
D,D Dataset1 5-common (N=175),3,rf,Random Forest,bdcm_in_avg,bdcm,BDCM,br_in_avg,Bromide,8.178529353277455,1,141,34
D,D Dataset1 5-common (N=175),3,rf,Random Forest,bdcm_in_avg,bdcm,BDCM,toc_in_avg,TOC,4.953973035700639,2,141,34
D,D Dataset1 5-common (N=175),3,rf,Random Forest,bdcm_in_avg,bdcm,BDCM,uv_in_avg,UV254,3.925147755449849,3,141,34
D,D Dataset1 5-common (N=175),3,rf,Random Forest,bdcm_in_avg,bdcm,BDCM,temp_in_avg,Temperature,0.7974738399665721,4,141,34
D,D Dataset1 5-common (N=175),3,rf,Random Forest,bdcm_in_avg,bdcm,BDCM,ph_in_avg,pH,0.742892500589962,5,141,34
D,D Dataset1 5-common (N=175),3,xgb,XGBoost,bdcm_in_avg,bdcm,BDCM,br_in_avg,Bromide,8.756179809570312,1,141,34
D,D Dataset1 5-common (N=175),3,xgb,XGBoost,bdcm_in_avg,bdcm,BDCM,toc_in_avg,TOC,4.062272071838379,2,141,34
D,D Dataset1 5-common (N=175),3,xgb,XGBoost,bdcm_in_avg,bdcm,BDCM,uv_in_avg,UV254,3.980229139328003,3,141,34
